id	tahunke1	tahunke2	idx
312	2011	2016	2.80667
313	2011	2016	3.21333
314	2011	2016	3.34
315	2011	2016	2.94667
316	2011	2016	3.06667
317	2012	2016	3.13333
318	2011	2016	3
319	2011	2016	2.99333
320	2011	2016	3.34667
321	2012	2016	3.46667
322	2011	2016	2.79333
323	2011	2016	3.12
324	2011	2016	2.98667
325	2012	2016	3.08
326	2011	2016	2.86667
327	2011	2016	2.77333
328	2011	2016	2.8
329	2011	2016	3.13333
330	2011	2016	2.65333
331	2011	2016	2.84
332	2011	2016	2.56
333	2011	2016	2.79333
334	2011	2016	2.98
335	2011	2016	2.78667
336	2011	2016	3.36667
337	2011	2016	3.37333
338	2011	2016	2.68
339	2011	2016	2.68
340	2011	2016	2.79333
341	2012	2016	3.72
342	2011	2016	3.20667
343	2011	2016	3.15333
344	2011	2016	2.80667
345	2011	2016	2.97333
346	2011	2016	3.12
347	2011	2016	2.81333
348	2012	2016	3.52
349	2011	2016	3.43333
350	2011	2016	3.38
351	2011	2016	2.82
352	2011	2016	3.22
353	2012	2016	3.40667
354	2011	2016	2.88667
355	2011	2016	3.00667
356	2011	2016	2.80667
357	2012	2016	3.32
358	2011	2016	2.98667
359	2011	2016	2.74
360	2011	2016	3.44
361	2011	2016	3.31333
362	2011	2016	2.74
363	2011	2016	3.23333
364	2011	2016	2.87333
365	2011	2016	3.01333
366	2011	2016	2.94667
367	2011	2016	2.80667
368	2011	2016	3.09333
369	2011	2016	2.84667
370	2011	2016	3.18667
371	2011	2016	2.75333
372	2011	2016	2.87333
373	2011	2016	3.35333
374	2011	2016	2.96
375	2011	2016	3.48
376	2011	2016	2.92
377	2011	2016	3.30667
378	2011	2016	2.78
379	2011	2016	3.43333
380	2012	2016	3.20667
381	2011	2016	3.40667
382	2011	2016	3.15333
383	2012	2016	3.42667
384	2012	2016	3.31333
385	2012	2016	2.9
386	2012	2016	3.5
387	2012	2016	3.02667
388	2012	2016	3.16667
389	2012	2016	3.14
390	2012	2016	3.44
391	2012	2016	3.32
392	2012	2016	3.08667
393	2012	2016	3.25333
394	2012	2016	3.04
395	2012	2016	3.45333
396	2012	2016	3.69333
397	2012	2016	3.44
398	2012	2016	3.58
399	2012	2016	3.26667
400	2012	2016	3.34667
401	2012	2016	3.59333
402	2012	2016	3.46667
403	2012	2016	3.25333
404	2012	2016	3.44
405	2012	2016	3.46667
406	2012	2016	3.30667
407	2012	2016	3.22667
408	2012	2016	3.24667
409	2012	2016	2.90667
410	2012	2016	3.34667
411	2012	2016	3.18667
412	2012	2016	3.42667
413	2012	2016	3.51333
414	2012	2016	3.34667
415	2012	2016	3.2
416	2012	2016	3.18
417	2013	2016	3.77333
418	2012	2017	2.83333
419	2012	2017	2.80667
420	2012	2018	2.51333
421	2012	2018	2.57333
422	2012	2018	2.54667
423	2012	2018	2.88667
424	2012	2018	2.79333
425	2012	2018	2.33333
426	2012	2018	2.77333
427	2012	2018	2.69333
428	2012	2018	2.93333
429	2012	2018	2.78667
430	2012	2018	2.87333
431	2012	2018	2.72
432	2012	2018	2.76667
433	2012	2018	3.27333
434	2012	2018	3.06
435	2012	2018	3.08
436	2012	2018	2.42667
437	2012	2018	2.77333
438	2012	2018	2.59333
439	2012	2018	3.27333
440	2012	2018	2.83333
441	2012	2018	2.70667
442	2012	2018	3.08
443	2012	2018	2.84
444	2012	2018	2.76667
445	2012	2018	2.86
446	2012	2018	3.06
447	2012	2018	2.76667
448	2012	2018	2.58667
449	2012	2018	2.62667
450	2012	2018	2.51333
451	2012	2018	2.45333
452	2012	2018	2.63333
453	2012	2018	2.63333
454	2012	2018	2.52667
455	2012	2018	2.66
456	2012	2018	2.78
457	2012	2018	2.6
458	2012	2018	2.85333
459	2012	2018	2.85333
460	2012	2018	2.58
461	2012	2018	2.67333
462	2012	2018	2.81333
463	2012	2018	2.71333
464	2012	2018	2.72667
465	2012	2018	2.48
466	2012	2018	2.54667
467	2015	2018	3.4
468	2012	2018	2.76667
469	2012	2018	2.58667
470	2012	2018	2.48
471	2012	2018	2.50667
472	2012	2018	2.74
473	2012	2018	2.83333
474	2012	2018	2.64
475	2012	2018	2.93333
476	2011	2018	2.84667
477	2012	2018	2.98
478	2012	2018	2.70667
479	2012	2018	2.74667
480	2012	2018	3
481	2012	2018	3.05333
482	2012	2018	2.74
483	2011	2018	2.69333
484	2012	2018	2.66667
485	2011	2018	2.78667
486	2012	2018	2.70667
487	2012	2018	2.80667
488	2012	2018	2.96667
489	2012	2018	2.98
490	2012	2018	2.82
491	2012	2018	2.46667
492	2012	2018	2.89333
493	2012	2018	2.98
494	2012	2018	2.89333
495	2011	2018	3.12667
496	2012	2018	2.62667
497	2012	2018	2.86667
498	2012	2018	2.78667
499	2012	2018	2.54
500	2012	2018	2.49333
501	2012	2018	2.44
502	2012	2018	2.72
503	2011	2018	2.74
504	2012	2018	2.44667
505	2011	2018	2.87333
506	2011	2018	2.76667
507	2011	2018	3.01333
508	2011	2018	2.85333
509	2011	2018	2.72667
510	2012	2018	2.78
511	2011	2018	2.76
512	2011	2018	3.1
513	2011	2018	2.65333
514	2012	2018	2.64
515	2012	2018	2.76
516	2011	2018	2.68667
517	2012	2018	2.50667
518	2012	2018	2.84
519	2012	2018	2.77333
520	2012	2018	2.88667
521	2012	2018	2.98
522	2012	2018	3.2
523	2012	2018	2.51333
524	2011	2018	2.54667
525	2011	2018	2.56667
526	2012	2018	2.75333
527	2012	2018	2.83333
528	2011	2018	2.76
529	2012	2018	2.86667
530	2012	2018	2.85333
531	2011	2018	2.65333
532	2011	2018	2.56
533	2011	2018	2.60667
534	2011	2018	2.56667
535	2012	2018	2.52
536	2011	2018	3.08667
537	2011	2018	2
538	2011	2018	2.74667
539	2012	2018	2.57333
540	2011	2018	2.56667
541	2011	2018	2.73333
542	2012	2018	2.61333
543	2012	2018	3.39333
544	2012	2018	2.53333
545	2012	2018	2.56667
546	2011	2018	2.82667
547	2012	2018	2.97333
548	2012	2018	3
549	2012	2018	3.15333
550	2011	2018	2.76
551	2011	2018	2.91333
552	2011	2018	3.05333
553	2011	2018	2.84
554	2012	2018	2.86667
555	2011	2018	2.55333
556	2012	2018	2.75333
557	2011	2018	2.72
558	2011	2018	2.7
559	2011	2018	2.7
560	2010	2018	2.70667
561	2010	2018	2.52667
562	2010	2018	2.66667
563	2010	2018	2.61333
564	2013	2018	3.13333
565	2013	2018	2.76
566	2013	2018	2.90667
567	2013	2018	3.08
568	2013	2018	2.96
569	2013	2018	2.94667
570	2013	2018	3.30667
571	2013	2018	3.09333
572	2013	2018	3.16667
573	2013	2018	3.28
574	2013	2018	3.61333
575	2013	2018	3.20667
576	2013	2018	3.00667
577	2013	2018	2.98
578	2013	2018	2.76
579	2013	2018	3.01333
580	2013	2018	3.04667
581	2013	2018	2.87333
582	2013	2018	2.98667
583	2013	2018	3.04
584	2013	2018	3.19333
585	2013	2018	3.1
586	2013	2018	3.07333
587	2013	2018	3.02
588	2013	2018	2.76667
589	2013	2018	2.98
590	2013	2018	2.92667
591	2013	2018	3.46667
592	2013	2018	3.30667
593	2013	2018	3.17333
594	2013	2018	3.48667
595	2013	2018	3.11333
596	2013	2018	2.75333
597	2013	2018	3.28667
598	2013	2018	3.19333
599	2013	2018	3.10667
600	2013	2018	3.24
601	2013	2018	3.05333
602	2013	2018	2.94
603	2013	2018	3.42667
604	2013	2018	2.94667
605	2013	2018	2.94
606	2013	2018	2.74667
607	2013	2018	3.38
608	2013	2018	2.94667
609	2013	2018	3.02
610	2013	2018	3.12667
611	2013	2018	2.93333
612	2013	2018	2.84667
613	2013	2018	3.10667
614	2013	2018	3.16
615	2013	2018	3.16667
616	2013	2018	3.18667
617	2013	2018	2.78
618	2013	2018	2.63333
619	2013	2018	3.43333
620	2013	2018	2.98
621	2013	2018	2.64667
622	2013	2018	2.92
623	2013	2018	2.9
624	2013	2018	2.79333
625	2013	2018	2.86667
626	2013	2018	2.9
627	2013	2018	3.29333
628	2013	2018	3.22667
629	2013	2018	2.86667
630	2013	2018	3.04667
631	2013	2018	2.56
632	2013	2018	2.67333
633	2013	2018	2.75333
634	2013	2018	2.61333
635	2013	2018	2.96667
636	2013	2018	2.94667
637	2013	2018	3.34667
638	2013	2018	2.69333
639	2013	2018	3.16
640	2013	2018	2.69333
641	2013	2018	2.92
642	2013	2018	2.78
643	2013	2018	3.18667
644	2013	2018	2.68
645	2013	2018	3.11333
646	2013	2018	3.14
647	2013	2018	3.5
648	2013	2018	3.14
649	2013	2018	3.17333
650	2013	2018	3.16667
651	2013	2018	3.58667
652	2013	2018	2.73333
653	2013	2018	3.38667
654	2013	2018	3.16
655	2013	2018	3.32667
656	2013	2018	2.86
657	2013	2018	3.05333
658	2013	2018	3.18667
659	2013	2018	3.04667
660	2013	2018	3.04667
661	2013	2018	2.92667
662	2013	2018	3.14
663	2013	2018	2.72
664	2013	2018	3.16
665	2013	2018	3.10667
666	2013	2018	2.90667
667	2013	2018	3.10667
668	2013	2018	3.02667
669	2013	2018	2.66667
670	2013	2018	3.16
671	2013	2018	3.28
672	2013	2018	3.3
673	2013	2018	3.17333
674	2013	2018	3.47333
675	2013	2018	3.24
676	2013	2018	3.00667
677	2013	2018	2.78
678	2013	2018	3.3
679	2013	2018	2.84667
680	2013	2018	3.01333
681	2013	2018	3.35333
682	2013	2018	2.98667
683	2013	2018	2.92667
684	2013	2018	2.86
685	2013	2018	2.96
686	2013	2018	3.22667
687	2016	2018	3.40667
688	2012	2018	3.06667
689	2013	2018	3.19333
690	2013	2018	2.84
691	2013	2018	3.18667
692	2013	2018	2.98667
693	2013	2018	2.90667
694	2013	2018	3.26667
695	2013	2018	2.94
696	2013	2018	3.50667
697	2013	2018	2.9
698	2013	2018	2.86
699	2013	2018	2.98667
700	2014	2018	3.42
701	2014	2018	3.13333
702	2014	2018	3.05333
703	2014	2018	3.41333
704	2014	2018	3
705	2014	2018	3
706	2014	2018	3.21333
707	2014	2018	3.68
708	2014	2018	3.26
709	2014	2018	3.17333
710	2014	2018	3.31333
711	2014	2018	3.52
712	2014	2018	3.71333
713	2014	2018	3.45333
714	2014	2018	3
715	2014	2018	3.29333
716	2014	2018	3
717	2014	2018	3
718	2014	2018	3
719	2014	2018	3
720	2014	2018	3.48667
721	2014	2018	3
722	2014	2018	3
723	2014	2018	3
724	2014	2018	3
725	2014	2018	3
726	2014	2018	3
727	2014	2018	3
728	2014	2018	3
729	2014	2018	3
730	2014	2018	3
731	2014	2018	3
732	2014	2018	3
733	2014	2018	3.44667
734	2014	2018	3.62667
735	2014	2018	3.24
736	2014	2018	3.44
737	2014	2018	3.58667
738	2014	2018	3.3
739	2014	2018	3.60667
740	2014	2018	3.7
741	2014	2018	3.4
742	2014	2018	3.80667
743	2014	2018	3.50667
744	2014	2018	3.48667
745	2014	2018	3.08667
746	2014	2018	3.08
747	2014	2018	3.52667
748	2014	2018	3.02667
749	2014	2018	3.4
750	2014	2018	3.54
751	2014	2018	3.07333
752	2014	2018	3.58
753	2014	2018	2.8
754	2014	2018	3.44
755	2014	2018	3.1
756	2014	2018	3.57333
757	2014	2018	3.4
758	2014	2018	3.46
759	2014	2018	3.2
760	2014	2018	3.26
761	2014	2018	3.42
762	2014	2018	3.36
763	2014	2018	3.38776
764	2014	2018	3.58667
765	2014	2018	3.35333
766	2014	2018	3.62
767	2015	2018	3.45333
768	2017	2018	2.89333
769	2013	2019	3.35
770	2013	2019	2.75
771	2011	2019	3.15
772	2012	2019	2.53
773	2012	2019	2.41
774	2012	2019	2.82
775	2012	2019	2.68
776	2012	2019	2.38
777	2012	2019	2.62
778	2012	2019	2.53
779	2012	2019	3.3
780	2012	2019	3.06
781	2012	2019	3.57
782	2013	2019	2.95
783	2012	2019	2.76
784	2012	2019	2.45
785	2012	2019	2.63
786	2012	2019	2.34
787	2012	2019	3.18
788	2012	2019	2.67
789	2012	2019	2.85
790	2012	2019	2.95
791	2012	2019	2.93
792	2013	2019	2.63
793	2013	2019	2.75
794	2013	2019	2.5
795	2013	2019	3.14
796	2013	2019	2.87
797	2013	2019	2.96
798	2013	2019	2.55
799	2013	2019	2.91
800	2013	2019	2.64
801	2013	2019	2.63
802	2013	2019	2.62
803	2013	2019	3.07
804	2013	2019	2.93
805	2013	2019	2.39
806	2013	2019	2.54
807	2013	2019	2.63
808	2013	2019	2.87
809	2013	2019	2.63
810	2013	2019	2.63
811	2013	2019	2.89
812	2013	2019	2.74
813	2013	2019	3.25
814	2013	2019	3.21
815	2013	2019	2.89
816	2013	2020	2.52
817	2013	2020	2.93
818	2013	2020	2.82
819	2013	2020	3.52
820	2013	2020	2.67
821	2013	2020	2.41
822	2012	2020	2.4
823	2018	2020	3.43
824	2016	2020	3.14
825	2014	2020	2.75
826	2014	2020	3.23
827	2014	2020	2.7
828	2014	2020	2.83
829	2014	2020	2.69
830	2014	2020	3.23
831	2014	2020	2.83
832	2014	2020	2.96
833	2014	2020	2.57
834	2014	2020	3.09
835	2014	2020	2.68
836	2014	2020	2.71
837	2014	2020	2.75
838	2014	2020	2.79
839	2014	2020	2.59
840	2014	2020	2.53
841	2014	2020	2.7
842	2014	2020	2.63
843	2014	2020	3.28
844	2014	2020	2.88
845	2014	2020	2.99
846	2014	2020	2.96
847	2014	2020	2.81
848	2014	2020	2.92
849	2014	2020	2.91
850	2014	2020	2.83
851	2014	2020	2.71
852	2014	2020	3.04
853	2015	2020	2.77
854	2015	2020	3.05
855	2015	2020	3.22
856	2015	2020	3.44
857	2015	2020	3.41
858	2015	2020	3.15
859	2015	2020	3.03
860	2015	2020	3.23
861	2015	2020	2.93
862	2015	2020	3.36
863	2015	2020	3.01
864	2015	2020	3.01
865	2015	2020	3.3
866	2015	2020	3.06
867	2015	2020	3.07
868	2015	2020	3.11
869	2015	2020	3.21
870	2015	2020	3.17
871	2015	2020	3.24
872	2015	2020	3.45
873	2015	2020	3.29
874	2015	2020	2.83
875	2015	2020	3.27
876	2015	2020	2.7
877	2015	2020	2.95
878	2015	2020	3.15
879	2015	2020	3.03
880	2015	2020	2.84
881	2015	2020	3.05
882	2015	2020	2.96
883	2015	2020	3.1
884	2015	2020	3.02
885	2015	2020	3.35
886	2015	2020	3.11
887	2015	2020	3.22
888	2015	2020	3.09
889	2015	2020	3.27
890	2015	2020	3.02
891	2015	2020	3.11
892	2015	2020	3.06
893	2015	2020	3.04
894	2015	2020	3.05
895	2015	2020	3.04
896	2015	2020	2.73
897	2015	2020	2.89
898	2015	2020	3.22
899	2015	2020	3.25
900	2015	2020	3.84
901	2015	2020	2.76
902	2015	2020	3.08
903	2015	2020	3.17
904	2015	2020	2.85
905	2015	2020	3.05
906	2015	2020	3.03
907	2015	2020	3.05
908	2015	2020	3.35
909	2015	2020	3.34
910	2015	2020	2.81
911	2015	2020	3.09
912	2015	2020	2.78
913	2015	2020	2.61
914	2015	2020	3.19
915	2015	2020	3.43
916	2015	2020	3.46
917	2015	2020	3.08
918	2015	2020	3.19
919	2015	2020	2.95
920	2015	2020	3.09
921	2015	2020	3.48
922	2015	2020	2.77
923	2015	2020	3.02
924	2015	2020	3.39
925	2015	2020	3.14
926	2015	2020	3.35
927	2015	2020	3.24
928	2015	2020	3
929	2015	2020	3.2
930	2015	2020	3.13
931	2015	2020	3.25
932	2015	2020	3.19
933	2015	2020	2.85
934	2015	2020	3.46
935	2015	2020	2.84
936	2015	2020	3.33
937	2015	2020	3.27
938	2015	2020	3.53
939	2015	2020	2.92
940	2015	2020	3.25
941	2015	2020	2.74
942	2015	2020	2.95
943	2015	2020	3.11
944	2015	2020	3.14
945	2015	2020	3.14
946	2015	2020	3.41
947	2015	2020	3
948	2015	2020	3.16
949	2015	2020	3.16
950	2015	2020	2.98
951	2015	2020	3.11
952	2015	2020	2.81
953	2015	2020	2.62
954	2015	2020	3.05
955	2015	2020	2.68
956	2015	2020	2.64
957	2015	2020	2.64
958	2015	2020	3.15
959	2015	2020	3.03
960	2015	2020	2.79
961	2015	2020	2.94
962	2015	2020	3.29
963	2015	2020	3.04
964	2015	2020	3.01
965	2015	2020	3.2
966	2015	2020	3.43
967	2015	2020	3.57
968	2015	2020	3.61
969	2015	2020	2.66
970	2015	2020	3.14
971	2015	2020	2.99
972	2015	2020	3.27
973	2015	2020	3.44
974	2015	2020	3.46
975	2015	2020	3
976	2015	2020	3.13
977	2015	2020	2.96
978	2015	2020	3.02
979	2015	2020	2.81
980	2015	2020	3.05
981	2015	2020	2.9
982	2015	2020	3.47
983	2015	2020	3.05
984	2015	2020	2.73
985	2015	2020	2.91
986	2015	2020	3.09
987	2015	2020	3.36
988	2015	2020	3.17
989	2015	2020	3.15
990	2015	2020	3.3
991	2015	2020	2.89
992	2015	2020	3.01
993	2015	2020	3.14
994	2015	2020	3.03
995	2015	2020	3.02
996	2015	2020	3.47
997	2015	2020	3.18
998	2015	2020	3.26
999	2015	2020	3.18
1000	2015	2020	3.67
1001	2015	2020	3.17
1002	2015	2020	3.38
1003	2015	2020	2.91
1004	2015	2020	3.33
1005	2015	2020	3.22
1006	2015	2020	2.89
1007	2015	2020	3.13
1008	2015	2020	3.36
1009	2015	2020	2.97
1010	2015	2020	2.75
1011	2015	2020	2.86
1012	2015	2020	3
1013	2016	2020	3.25
1014	2015	2020	2.84
1015	2015	2020	2.73
1016	2015	2020	3.02
1017	2015	2020	2.78
1018	2015	2020	3.17
1019	2015	2020	3.03
1020	2015	2020	2.86
1021	2015	2020	3.05
1022	2015	2020	3.38
1023	2015	2020	2.83
1024	2015	2020	3.21
1025	2015	2020	2.91
1026	2015	2020	2.68
1027	2015	2020	2.79
1028	2015	2020	2.79
1029	2015	2020	3.82
1030	2015	2020	2.92
1031	2015	2020	2.75
1032	2015	2020	2.88
1033	2015	2020	3.24
1034	2015	2020	2.83
1035	2015	2020	2.8
1036	2015	2020	2.97
1037	2015	2020	2.87
1038	2015	2020	3.03
1039	2015	2020	2.61
1040	2015	2020	2.95
1041	2015	2020	2.82
1042	2015	2020	3.05
1043	2015	2020	2.87
1044	2015	2020	3.07
1045	2015	2020	2.84
1046	2015	2020	3.05
1047	2015	2020	3.05
1048	2015	2020	2.76
1049	2015	2020	3.09
1050	2015	2020	3.15
1051	2015	2020	2.74
1052	2015	2020	2.74
1053	2015	2020	3.02
1054	2015	2020	2.94
1055	2015	2020	2.73
1056	2015	2020	2.93
1057	2015	2020	3.07
1058	2014	2020	3.49
1059	2014	2020	2.96
1060	2014	2020	2.81
1061	2014	2020	2.74
1062	2014	2020	2.63
1063	2014	2020	3.24
1064	2014	2020	3.03
1065	2014	2020	3.39
1066	2014	2020	3.27
1067	2014	2020	2.94
1068	2014	2020	2.75
1069	2014	2020	2.99
1070	2014	2020	2.65
1071	2014	2020	3.11
1072	2014	2020	2.67
1073	2014	2020	2.87
1074	2014	2020	2.72
1075	2014	2020	2.79
1076	2013	2020	2.41
1077	2013	2020	2.97
1078	2013	2020	2.42
1079	2013	2020	2.59
1080	2013	2020	2.68
1081	2013	2020	2.79
1082	2013	2020	2.51
1083	2012	2020	2.59
1084	2012	2020	2.91
1085	2012	2020	2.65
1086	2012	2020	2.65
1087	2015	2020	2.84
1088	2015	2020	2.72
1089	2015	2020	3.21
1090	2015	2020	2.74
1091	2015	2020	2.7
1092	2015	2020	3.07
1093	2015	2020	3.09
1094	2015	2020	2.91
1095	2015	2020	3.35
1096	2015	2020	3.15
1097	2015	2020	3.18
1098	2015	2020	3.09
1099	2015	2020	2.95
1100	2015	2020	3.2
1101	2015	2020	2.77
1102	2015	2020	2.85
1103	2015	2020	2.83
1104	2015	2020	2.74
1105	2015	2020	2.79
1106	2015	2020	2.96
1107	2015	2020	2.91
1108	2015	2020	2.79
1109	2015	2020	2.84
1110	2015	2020	3.08
1111	2015	2020	2.77
1112	2015	2020	2.93
1113	2015	2020	2.65
1114	2015	2020	2.87
1115	2015	2020	3.02
